Country Name,ISO 3166-1 3-Letter Code,Region
France,FRA,Europe
United States,USA,North America
Spain,ESP,Europe
China,CHN,Asia
Italy,ITA,Europe
United Kingdom,GBR,Europe
Germany,DEU,Europe
Mexico,MEX,North America
Thailand,THA,Asia
Turkey,TUR,Middle East
Austria,AUT,Europe
Malaysia,MYS,Asia
Greece,GRC,Europe
Russia,RUS,Europe
Japan,JPN,Asia
Canada,CAN,North America
Saudi Arabia,SAU,Middle East
Poland,POL,Europe
South Korea,KOR,Asia
Netherlands,NLD,Europe
Switzerland,CHE,Europe
Australia,AUS,Oceania
Egypt,EGY,Africa
Indonesia,IDN,Asia
Vietnam,VNM,Asia
United Arab Emirates,ARE,Middle East
Argentina,ARG,South America
Singapore,SGP,Asia
Sweden,SWE,Europe
Czech Republic,CZE,Europe
South Africa,ZAF,Africa
Hungary,HUN,Europe
Belgium,BEL,Europe
Peru,PER,South America
Norway,NOR,Europe
Ireland,IRL,Europe
Denmark,DNK,Europe
Finland,FIN,Europe
Brazil,BRA,South America
Croatia,HRV,Europe
Morocco,MAR,Africa
Philippines,PHL,Asia
Taiwan,TWN,Asia
Ukraine,UKR,Europe
Israel,ISR,Middle East
Kenya,KEN,Africa
Cuba,CUB,North America
Chile,CHL,South America
New Zealand,NZL,Oceania
Hong Kong,HKG,Asia
Macao,MAC,Asia
India,IND,Asia
Colombia,COL,South America
Portugal,PRT,Europe
Nepal,NPL,Asia